,checking_acc_numeric,time_credit_acc,credit_history_numeric,purpose_numeric,amount,savings_acc_numeric,p_employment_time_numeric,installment_rate,marita_status_sex_numeric,other_debtors_numeric,p_residence_time,property_numeric,age,other_installment_numeric,housing_numeric,number_of_credits,job_numeric,dependants,has_phone_numeric,foreign_worker_numeric,is_good,nearest_neighbors,random_forest
589,1,12,3,3,2246,1,5,3,1,1,3,3,60,0,1,2,3,1,0,1,2,0.7,0.28
374,2,60,1,11,14782,2,5,3,2,1,4,0,60,2,0,2,4,1,1,1,2,0.5,0.1425
910,4,36,2,1,4454,1,3,4,2,1,4,4,34,0,1,2,3,1,0,1,1,1.0,0.7925
718,3,24,3,1,3148,0,3,3,1,1,2,2,31,0,1,2,3,1,1,1,1,0.8,0.9625
744,1,39,3,3,14179,0,4,4,1,1,4,3,30,0,1,2,4,1,1,1,1,0.5,0.7725
494,1,12,3,2,2122,1,3,3,1,1,2,4,39,0,2,2,2,2,0,0,1,0.7,0.965
404,2,18,2,2,2899,0,5,4,1,1,4,2,43,0,1,1,3,2,0,1,1,0.8,0.8575
274,1,30,4,7,11998,1,2,1,4,1,1,0,34,0,1,1,2,1,1,1,2,0.5,0.185
78,4,54,0,4,9436,0,3,2,1,1,2,3,39,0,1,1,2,2,0,1,1,1.0,0.8025
721,2,6,1,6,433,4,2,4,2,1,2,3,24,2,2,1,3,2,0,1,2,0.7,0.255
644,1,18,3,1,1880,1,4,4,3,1,1,3,32,0,1,2,4,1,1,1,1,0.5,0.9775
614,4,18,2,3,1808,1,4,4,2,1,1,4,22,0,1,1,3,1,0,1,2,0.9,0.205
872,1,24,3,5,1382,2,4,4,1,1,1,4,26,0,1,2,3,1,1,1,1,0.7,0.95
691,2,15,4,7,2631,2,3,3,2,1,2,4,25,0,1,1,2,1,0,1,1,0.6,0.9075
90,4,12,3,1,618,1,5,4,1,1,4,4,56,0,1,1,3,1,0,1,1,1.0,0.9575
101,2,36,4,1,2323,1,4,4,1,1,4,2,24,0,2,1,3,1,0,1,1,0.7,0.76
94,2,12,4,2,1318,4,5,4,1,1,4,4,54,0,1,1,3,1,1,1,1,0.8,0.995
577,4,24,3,6,1927,0,3,3,2,1,2,2,33,0,1,2,3,1,1,1,1,0.9,0.935
537,2,18,3,3,3612,1,5,3,2,1,4,3,37,0,1,1,3,1,1,1,1,0.4,0.9275
41,2,12,4,1,1158,3,3,3,4,1,1,2,26,0,1,1,3,1,1,1,1,0.5,0.925
453,4,24,4,4,2670,1,5,4,1,1,4,2,35,0,1,1,4,1,1,1,1,1.0,0.855
995,4,12,4,3,1736,1,4,3,2,1,4,4,31,0,1,1,2,1,0,1,1,0.8,0.935
713,1,9,3,1,1138,1,3,4,1,1,4,4,25,0,1,2,2,1,0,1,1,0.9,0.8975
34,3,12,4,3,1474,1,2,4,2,1,1,3,33,2,1,1,4,1,1,1,1,0.7,0.9125
639,1,42,2,1,4370,1,4,3,1,1,2,3,26,2,1,2,3,2,1,1,2,0.4,0.2275
35,2,45,3,1,4746,1,2,4,1,1,2,3,25,0,1,2,2,1,0,1,2,0.8,0.1425
148,1,36,3,3,5371,1,3,3,1,2,2,3,28,0,1,2,3,1,0,1,1,0.8,0.8625
455,4,24,4,4,2679,1,2,4,2,1,1,0,29,0,1,1,4,1,1,1,1,1.0,0.9275
885,1,12,4,6,795,1,2,4,2,1,4,3,53,0,1,1,3,1,0,1,2,0.4,0.2275
677,2,72,4,1,5595,2,3,2,3,1,2,2,24,0,1,1,3,1,0,1,2,0.6,0.2125
486,4,12,4,1,3077,1,3,2,1,1,4,2,52,0,1,1,3,1,1,1,1,1.0,0.8825
685,4,60,4,2,6527,0,3,4,1,1,4,0,34,0,0,1,3,2,1,1,1,0.9,0.855
307,1,12,4,1,727,2,2,4,3,1,3,0,33,0,1,1,2,1,1,1,2,0.4,0.26
238,4,12,3,1,1291,1,3,4,2,1,2,3,35,0,1,2,3,1,0,1,1,0.9,0.96
395,2,39,2,6,11760,2,4,2,1,1,3,0,32,0,2,1,3,1,1,1,1,0.4,0.8575
734,4,4,3,2,3380,1,4,1,2,1,1,4,37,0,1,1,3,2,0,1,1,0.8,0.935
822,1,36,4,3,2712,1,5,2,1,1,2,3,41,2,1,1,3,2,0,1,2,0.5,0.2625
812,1,36,3,4,9629,1,4,4,1,1,4,2,24,0,1,2,3,1,1,1,2,0.7,0.18
464,4,18,4,5,1950,1,4,4,1,1,1,2,34,1,1,2,3,1,1,1,1,0.7,0.9275
816,4,6,4,10,1338,3,3,1,4,1,4,4,62,0,1,1,3,1,0,1,1,0.9,0.9375
528,1,36,4,1,2302,1,3,4,4,1,4,2,31,0,2,1,3,1,0,1,2,0.5,0.2925
17,1,30,0,5,8072,0,2,2,1,1,3,2,25,2,1,3,3,1,0,1,1,0.8,0.85
709,2,9,4,1,2118,1,3,2,1,1,2,4,37,0,1,1,2,2,0,1,1,1.0,0.88
370,4,36,4,2,3079,0,3,4,1,1,4,4,36,0,1,1,3,1,0,1,1,1.0,0.8325
241,4,6,4,1,1595,1,4,3,1,1,2,3,51,0,1,1,3,2,0,1,1,1.0,0.9175
964,2,6,4,7,454,1,2,3,3,1,1,3,22,0,1,1,2,1,0,1,1,0.7,0.8625
457,1,12,4,4,3386,1,5,3,1,1,4,0,35,0,0,1,3,1,1,1,2,0.4,0.32
65,4,27,4,7,5190,0,5,4,1,1,4,3,48,0,1,4,3,2,1,1,1,0.9,0.925
191,2,48,0,5,3844,2,4,4,1,1,4,0,34,0,0,1,2,2,0,1,2,0.3,0.1725
838,1,24,3,4,2957,1,5,4,1,1,4,3,63,0,1,2,3,1,1,1,1,0.5,0.925
331,4,18,3,6,1864,2,3,4,2,1,2,4,30,0,1,2,3,1,0,1,2,0.9,0.33
638,4,12,4,1,1493,1,2,4,2,1,3,2,34,0,1,1,3,2,0,1,1,0.9,0.8375
255,2,60,2,1,7418,0,3,1,1,1,1,4,27,0,1,1,2,1,0,1,1,1.0,0.8975
742,4,21,4,1,3160,0,5,4,1,1,3,3,41,0,1,1,3,1,1,1,1,1.0,0.88
756,3,6,3,2,1299,1,3,1,1,1,1,4,74,0,1,3,1,2,0,0,1,0.8,0.925
757,3,15,3,1,1271,0,3,3,1,1,4,0,39,0,0,2,3,1,1,1,2,0.8,0.33
951,1,36,2,5,2145,1,4,2,1,1,1,2,24,0,1,2,3,1,1,1,2,0.5,0.2875
992,1,18,4,1,1936,0,4,2,3,1,4,2,23,0,2,2,2,1,0,1,1,0.5,0.9125
463,2,12,4,9,754,0,5,4,1,1,4,3,38,0,1,2,3,1,0,1,1,0.6,0.955
843,4,24,1,5,1559,1,4,4,1,1,4,2,50,2,1,1,3,1,1,1,1,0.5,0.7275
573,1,15,4,5,806,1,3,4,2,1,4,3,22,0,1,1,2,1,0,1,1,0.6,0.86
527,4,4,3,1,1503,1,4,2,1,1,1,4,42,0,1,2,2,2,0,1,1,1.0,0.95
654,4,24,3,4,2346,1,4,4,1,1,3,2,35,0,1,2,3,1,1,1,1,1.0,0.97
189,2,18,0,3,3244,1,3,1,2,1,4,2,33,2,1,2,3,1,1,1,1,0.3,0.8525
517,4,36,3,3,7127,1,2,2,2,1,4,3,23,0,2,2,3,1,1,1,2,0.9,0.205
956,3,30,3,1,3656,0,5,4,1,1,4,3,49,1,1,2,2,1,0,1,1,0.8,0.975
414,1,24,4,2,1381,0,3,4,2,1,2,3,35,0,1,1,3,1,0,1,2,0.4,0.235
671,4,36,4,5,5742,2,4,2,1,1,2,2,31,0,1,2,3,1,1,1,1,0.9,0.8975
559,2,18,3,3,1928,1,2,2,1,1,2,4,31,0,1,2,2,1,0,1,2,0.6,0.295
593,2,24,4,2,2718,1,3,3,2,1,4,3,20,0,2,1,2,1,1,1,2,0.4,0.16
258,4,15,4,4,3812,2,2,1,2,1,4,2,23,0,1,1,3,1,1,1,1,1.0,0.9175
154,2,24,2,5,6967,2,4,4,1,1,4,2,36,0,2,1,4,1,1,1,1,0.6,0.845
335,1,6,3,3,3384,1,3,1,4,1,4,4,44,0,2,1,4,1,1,1,2,0.5,0.295
13,1,24,3,2,1199,1,5,4,1,1,4,2,60,0,1,2,2,1,0,1,2,0.4,0.355
911,2,24,3,3,4736,1,2,2,2,1,4,2,25,2,1,1,2,1,0,1,2,0.4,0.1925
156,1,9,3,7,1288,2,5,3,1,2,4,4,48,0,1,2,3,2,0,0,1,0.5,0.9525
428,4,9,4,3,1313,1,5,1,1,1,4,2,20,0,1,1,3,1,0,1,1,1.0,0.8575
824,4,18,3,3,3780,1,2,3,4,1,2,2,35,0,1,2,4,1,1,1,1,0.8,0.9225
267,4,24,4,1,1533,1,2,4,2,1,3,2,38,1,1,1,3,1,1,1,1,0.9,0.86
538,1,48,4,2,7763,1,5,4,1,1,4,0,42,2,0,1,4,1,0,1,2,0.3,0.0875
236,2,6,4,2,14555,0,1,1,1,1,2,3,23,0,1,1,1,1,1,1,2,0.5,0.1825
944,1,15,4,3,1845,1,2,4,2,2,1,3,46,0,2,1,3,1,0,1,1,0.9,0.8525
479,1,15,3,3,1478,1,5,4,1,1,4,2,44,0,1,2,3,2,1,1,1,0.5,0.96
785,2,18,4,5,1941,4,3,4,1,1,2,3,35,0,1,1,2,1,1,1,1,0.7,0.9475
950,2,18,3,5,3590,1,1,3,3,1,3,2,40,0,1,3,1,2,1,1,1,0.8,0.9075
59,1,36,3,3,6229,1,2,4,2,3,4,0,23,0,2,2,2,1,1,1,2,0.4,0.145
868,4,36,4,5,7409,0,5,3,1,1,2,3,37,0,1,2,3,1,0,1,1,0.9,0.9025
175,4,30,1,4,7485,0,1,4,2,1,1,4,53,2,1,1,4,1,1,1,2,0.8,0.1825
711,1,6,1,6,1198,1,5,4,2,1,4,0,35,0,0,1,3,1,0,1,2,0.3,0.12
449,2,15,2,7,1512,4,3,3,3,1,3,3,61,1,1,2,3,1,0,1,2,0.6,0.2325
120,1,21,4,1,1835,1,3,3,2,1,2,4,25,0,1,2,3,1,1,1,2,0.6,0.2725
794,4,24,4,3,3062,3,5,4,1,1,3,0,32,0,2,1,3,1,1,1,1,0.9,0.98
180,4,36,2,5,9572,1,2,1,4,1,1,2,28,0,1,2,3,1,0,1,2,0.7,0.215
311,4,24,4,3,5511,2,3,4,1,1,1,2,25,1,1,1,3,1,0,1,1,1.0,0.8025
3,1,42,4,3,7882,1,4,2,1,2,4,3,45,0,0,1,3,2,0,1,1,0.7,0.7525
194,2,45,4,1,3031,2,3,4,1,2,4,3,21,0,2,1,3,1,0,1,2,0.7,0.1875
437,4,24,3,2,1287,4,5,4,2,1,4,4,37,0,1,2,3,1,1,1,1,0.8,0.97
683,4,24,3,1,5103,1,2,3,3,1,3,0,47,0,0,3,3,1,1,1,1,0.9,0.8725
799,2,9,4,2,1549,0,2,4,1,1,2,4,35,0,1,1,1,1,0,1,1,0.8,0.865
746,1,15,4,2,2511,1,1,1,2,1,4,2,23,0,2,1,3,1,0,1,1,0.6,0.8625
625,4,15,4,1,1979,0,5,4,1,1,2,2,35,0,1,1,3,1,0,1,1,1.0,0.905
692,2,24,4,1,2896,2,2,2,1,1,1,2,29,0,1,1,3,1,0,1,1,0.8,0.8775
551,4,6,1,1,1750,3,5,2,1,1,4,3,45,2,1,1,2,2,0,1,1,0.7,0.85
248,3,24,4,3,1925,1,3,2,1,1,2,4,26,0,1,1,3,1,0,1,1,0.8,0.895
659,2,18,3,3,6361,1,5,2,1,1,1,0,41,0,1,1,3,1,1,1,1,0.5,0.915
2,4,12,3,6,2096,1,4,2,1,1,3,4,49,0,1,1,2,2,0,1,1,0.9,0.945
997,4,12,4,1,804,1,5,4,1,1,4,2,38,0,1,1,3,1,0,1,1,1.0,0.875
860,4,24,3,4,5804,4,3,4,1,1,2,4,27,0,1,2,3,1,0,1,1,1.0,0.8025
776,4,36,3,2,3535,1,4,4,1,1,4,2,37,0,1,2,3,1,1,1,1,1.0,0.97
857,4,15,3,3,3343,1,3,4,1,1,2,0,28,0,0,1,3,1,1,1,1,0.9,0.78
358,4,12,4,1,776,1,3,4,3,1,2,4,28,0,1,1,3,1,0,1,1,1.0,0.725
769,4,12,3,1,1655,1,5,2,1,1,4,4,63,0,1,2,2,1,1,1,1,1.0,0.925
73,2,42,3,5,5954,1,4,2,2,1,1,4,41,2,1,2,2,1,0,1,1,0.7,0.9225
117,1,10,3,3,2132,0,2,2,2,3,3,4,27,0,2,2,3,1,0,0,1,0.7,0.9275
938,2,60,4,6,6288,1,3,4,1,1,4,0,42,0,0,1,3,1,0,1,2,0.4,0.145
535,3,21,3,6,2319,1,2,2,4,1,1,2,33,0,2,1,3,1,0,1,2,0.6,0.275
111,3,15,4,6,392,1,2,4,2,1,4,3,23,0,2,1,3,1,1,1,1,0.8,0.8325
509,4,39,4,4,8588,2,5,4,1,1,2,2,45,0,1,1,4,1,1,1,1,1.0,0.78
512,3,15,4,5,2687,1,4,2,1,1,4,3,26,0,2,1,3,1,1,1,1,0.9,0.955
916,4,10,4,4,2848,2,3,1,1,3,2,4,32,0,1,1,3,2,0,1,1,1.0,0.965
555,2,12,4,1,1331,1,2,2,1,1,1,2,22,1,1,1,3,1,0,1,2,0.7,0.265
552,1,48,4,1,6999,1,4,1,3,2,1,4,34,0,1,2,3,1,1,1,2,0.5,0.28
354,4,10,4,6,727,3,5,4,1,1,4,0,46,0,0,1,3,1,1,1,1,0.6,0.965
970,2,15,4,7,1514,2,3,4,1,2,2,4,22,0,1,1,3,1,0,1,1,0.5,0.83
8,4,12,4,1,3059,4,4,2,4,1,4,4,61,0,1,1,2,1,0,1,1,0.9,0.9375
581,2,12,3,2,3124,1,2,1,1,1,3,4,49,2,1,2,2,2,0,1,1,0.6,0.9375
56,2,12,4,1,6468,0,1,2,1,1,1,0,52,0,1,1,4,1,1,1,2,0.1,0.235
576,2,12,4,1,2930,1,4,2,2,1,1,4,27,0,1,1,3,1,0,1,1,0.5,0.935
705,4,15,4,2,5324,3,5,1,2,1,4,0,35,0,0,1,3,1,0,1,1,0.9,0.9475
651,2,12,4,3,1922,1,3,4,1,1,2,3,37,0,1,1,2,1,0,1,2,0.4,0.2925
84,1,10,4,1,2315,1,5,3,1,1,4,4,52,0,1,1,2,1,0,1,1,0.9,0.9375
228,4,9,4,1,1478,1,4,4,1,1,2,2,22,0,1,1,3,1,0,1,2,1.0,0.23
159,4,6,3,1,1898,0,3,1,1,1,2,4,34,0,1,2,2,2,0,1,1,1.0,0.9275
205,1,30,3,4,10623,1,5,3,1,1,4,0,38,0,0,3,4,2,1,1,1,0.5,0.845
125,1,12,3,2,2121,1,3,4,1,1,2,3,30,0,1,2,3,1,0,1,1,0.4,0.895
688,4,9,4,1,2753,2,5,3,1,3,4,2,35,0,1,1,3,1,1,1,1,1.0,0.9275
887,2,48,4,5,15672,1,3,2,1,1,2,2,23,0,1,1,3,1,1,1,2,0.7,0.0875
473,4,6,4,9,1238,0,1,4,1,1,4,3,36,0,1,1,4,2,1,1,1,1.0,0.885
244,4,12,1,9,3447,3,3,4,2,1,3,4,35,0,1,1,2,2,0,1,1,1.0,0.81
597,2,24,0,5,4241,1,3,1,1,1,4,4,36,0,1,3,2,1,1,1,2,0.8,0.175
797,4,12,3,3,1258,1,2,2,2,1,4,3,22,0,2,2,2,1,0,1,1,0.8,0.8525
195,2,9,3,6,1501,1,5,2,2,1,3,2,34,0,1,2,4,1,1,1,2,0.6,0.36
202,4,27,2,5,5117,1,4,3,1,1,4,2,26,0,1,2,3,1,0,1,1,0.9,0.8325
81,4,15,4,1,1213,3,5,4,1,1,3,3,47,1,1,1,3,1,1,1,1,1.0,0.9925
484,4,12,3,2,1163,3,3,4,1,1,4,4,44,0,1,1,3,1,1,1,1,1.0,0.9225
443,4,12,4,6,719,1,5,4,1,1,4,2,41,2,1,1,2,2,0,1,2,0.6,0.165
578,2,36,3,2,2820,1,2,4,4,1,4,2,27,0,1,2,3,1,0,1,2,0.4,0.23
201,1,12,4,2,1168,1,3,4,3,1,3,4,27,0,1,1,2,1,0,1,1,0.9,0.8025
186,2,9,1,4,5129,1,5,2,2,1,4,0,74,2,0,1,4,2,1,1,2,0.6,0.13
516,1,6,3,2,1361,1,2,2,1,1,4,4,40,0,1,1,2,2,0,0,1,0.8,0.9225
821,3,12,4,1,3016,1,3,3,3,1,1,2,24,0,1,1,3,1,0,1,1,0.6,0.9
967,4,15,4,1,3568,1,5,4,2,1,2,2,54,2,2,1,4,1,1,1,1,0.9,0.8575
216,1,18,0,5,3104,1,4,3,1,1,1,3,31,2,1,1,3,1,1,1,1,0.8,0.84
50,2,24,2,3,2333,0,2,4,1,1,2,3,29,2,1,1,2,1,0,1,1,0.5,0.835
783,2,12,4,2,836,2,2,4,2,1,2,3,23,2,1,1,2,1,0,1,2,0.5,0.2075
672,4,60,4,2,10366,1,5,2,1,1,4,3,42,0,1,1,4,1,1,1,1,1.0,0.7875
531,2,15,4,2,2631,2,3,2,2,1,4,2,28,0,2,2,3,1,1,1,2,0.6,0.315
314,3,4,4,2,1494,0,2,1,1,1,2,4,29,0,1,1,2,2,0,0,1,0.9,0.92
200,4,9,3,6,936,3,5,4,1,1,2,2,52,0,1,2,3,1,1,1,1,1.0,0.9525
223,4,24,2,5,2978,0,3,4,1,1,4,4,32,0,1,2,3,2,1,1,1,0.8,0.9075
587,1,12,4,3,1289,1,3,4,1,2,1,3,21,0,1,1,2,1,0,1,1,0.6,0.88
983,1,36,4,4,8229,1,3,2,1,1,2,3,26,0,1,1,3,2,0,1,2,0.5,0.2275
699,3,15,4,6,1905,1,5,4,1,1,4,2,40,0,2,1,4,1,1,1,1,0.9,0.91
826,1,18,3,2,3966,1,5,1,2,1,4,4,33,2,2,3,3,1,1,1,2,0.3,0.3175
233,2,18,4,1,866,1,3,4,3,2,2,4,25,0,1,1,2,1,0,1,1,0.7,0.8625
584,4,12,4,2,2133,0,5,4,2,1,4,0,52,0,0,1,4,1,1,1,1,0.9,0.935
974,4,30,3,1,2831,1,3,4,2,1,2,2,33,0,1,1,3,1,1,1,1,0.9,0.935
430,4,5,4,5,3448,1,4,1,1,1,4,4,74,0,1,1,2,1,0,1,1,1.0,0.93
874,1,12,4,3,3590,1,3,2,1,3,2,3,29,0,1,1,2,2,0,1,1,0.8,0.895
550,4,12,3,7,996,0,4,4,2,1,4,4,23,0,1,2,3,1,0,1,1,0.9,0.9275
608,4,18,4,1,2051,1,2,4,1,1,1,4,33,0,1,1,3,1,0,1,1,1.0,0.885
207,2,12,3,10,1424,1,4,4,1,1,3,3,26,0,1,1,3,1,0,1,1,0.7,0.9175
382,4,22,4,2,1283,0,4,4,2,1,4,3,25,0,2,1,3,1,0,1,1,0.6,0.8325
994,4,12,4,2,2390,0,5,4,1,1,3,2,50,0,1,1,3,1,1,1,1,1.0,0.9625
982,3,21,4,2,2923,2,3,1,2,1,1,2,28,2,1,1,4,1,1,1,1,0.9,0.9325
47,1,6,4,4,1352,3,1,1,2,1,2,3,23,0,2,1,1,1,1,1,1,0.6,0.8675
521,1,18,4,1,3190,1,3,2,2,1,2,4,24,0,1,1,3,1,0,1,2,0.6,0.3225
636,4,24,4,1,1376,3,4,4,2,1,1,2,28,0,1,1,3,1,0,1,1,0.9,0.905
19,4,24,4,1,3430,3,5,3,1,1,2,2,31,0,1,1,3,2,1,1,1,1.0,0.945
366,4,18,3,4,3850,1,4,3,1,1,1,2,27,0,1,2,3,1,0,1,1,1.0,0.9125
340,2,24,3,6,5743,1,2,2,2,1,4,0,24,0,0,2,3,1,1,1,1,0.4,0.6975
952,2,24,4,4,4113,3,2,3,2,1,4,2,28,0,2,1,3,1,0,1,2,0.6,0.2275
675,4,30,3,1,4530,1,4,4,2,1,4,2,26,0,2,1,4,1,1,1,1,0.9,0.85
306,4,30,4,4,4811,0,4,2,2,1,4,3,24,1,2,1,2,1,0,1,1,0.9,0.9075
835,1,12,0,2,1082,1,3,4,1,1,4,2,48,2,1,2,3,1,0,1,2,0.3,0.1725
429,1,18,3,7,1190,1,1,2,2,1,4,0,55,0,0,3,1,2,0,1,2,0.2,0.3025
823,1,8,3,2,731,1,5,4,1,1,4,4,47,0,1,2,2,1,0,1,1,0.8,0.9625
304,4,48,3,2,10127,3,3,2,1,1,2,0,44,2,0,1,3,1,0,1,2,0.7,0.2125
355,2,24,4,2,1246,1,2,4,1,1,2,4,23,1,1,1,2,1,0,1,2,0.9,0.2675
177,1,6,3,1,338,3,5,4,1,1,4,2,52,0,1,2,3,1,0,1,1,0.7,0.985
945,2,48,0,2,8358,3,2,1,2,1,1,2,30,0,1,2,3,1,0,1,1,0.4,0.835
60,2,9,4,5,1391,1,3,2,3,1,1,4,27,2,1,1,3,1,1,1,1,0.7,0.8975
309,2,9,4,2,276,1,3,4,3,1,4,4,22,0,2,1,2,1,0,1,1,0.7,0.935
892,1,12,3,2,2171,1,3,4,1,1,4,3,38,2,1,2,2,1,0,0,1,0.4,0.9575
301,2,36,0,1,3804,1,3,4,2,1,1,2,42,0,1,1,3,1,1,1,2,0.6,0.1725
920,4,18,3,3,1817,1,3,4,2,1,2,0,28,0,1,2,3,1,0,1,1,1.0,0.945
594,1,24,1,11,1358,0,5,4,1,1,3,2,40,1,1,1,4,1,1,1,2,0.4,0.1925
761,1,18,3,3,2124,1,3,4,2,1,4,4,24,0,2,2,3,1,0,1,2,0.5,0.245
107,2,12,4,2,6078,1,4,2,1,1,2,2,32,0,1,1,3,1,0,1,1,0.8,0.9225
747,1,12,4,2,1274,1,2,3,2,1,1,4,37,0,1,1,2,1,0,1,2,0.8,0.285
988,1,24,4,4,6579,1,1,4,1,1,2,0,29,0,0,1,4,1,1,1,1,0.5,0.715
806,2,6,4,1,590,1,2,3,3,1,3,4,26,0,1,1,2,1,0,0,1,0.8,0.9025
99,2,20,2,4,7057,0,4,3,1,1,4,3,36,2,2,2,4,2,1,1,1,0.7,0.935
250,1,6,3,2,666,4,4,3,2,1,4,4,39,0,1,2,2,1,1,1,1,0.8,0.955
833,2,24,4,1,5084,0,5,2,2,1,4,2,42,0,1,1,3,1,1,1,1,0.6,0.94
474,2,18,3,1,1245,1,3,4,3,1,2,2,33,0,1,1,3,1,0,1,2,0.6,0.305
703,2,30,2,5,2503,2,5,4,1,1,2,3,41,1,1,2,3,1,0,1,1,0.7,0.9075
941,4,10,4,2,1546,1,3,3,1,1,2,4,31,0,1,1,2,2,0,0,1,1.0,0.9575
383,3,12,4,2,1330,1,2,4,1,1,1,4,26,0,1,1,3,1,0,1,1,1.0,0.95
680,4,6,4,6,1538,1,2,1,2,1,2,0,56,0,1,1,3,1,0,1,1,0.8,0.96
181,2,36,2,5,4455,1,3,2,4,1,2,4,30,1,1,2,4,1,1,1,2,0.8,0.29
12,2,12,4,1,1567,1,3,1,2,1,1,2,22,0,1,1,3,1,1,1,1,0.6,0.8625
613,1,24,1,4,3632,1,3,1,2,2,4,2,22,2,2,1,3,1,0,0,1,0.6,0.8925
85,4,12,3,5,1412,1,3,4,2,2,2,4,29,0,1,2,4,1,1,1,1,0.8,0.9575
320,2,30,3,2,4249,1,1,4,3,1,2,2,28,0,1,2,4,1,0,1,2,0.5,0.1075
649,1,12,4,6,684,1,3,4,1,1,4,2,40,0,2,1,2,2,0,1,2,0.3,0.1425
710,4,18,3,1,629,3,5,4,1,1,3,3,32,2,1,2,4,1,1,1,1,0.8,0.8875
385,4,18,3,1,2238,1,3,2,2,1,1,2,25,0,1,2,3,1,0,1,1,0.9,0.865
890,1,27,3,5,2442,1,5,4,1,1,4,2,43,1,1,4,4,2,1,1,1,0.6,0.9475
439,3,12,1,5,609,1,2,4,2,1,1,4,26,0,1,1,1,1,0,1,2,0.8,0.2575
135,4,12,3,1,1240,0,5,4,2,1,2,4,38,0,1,2,3,1,1,1,1,1.0,0.9475
567,4,24,3,1,2578,4,5,2,1,1,2,2,34,0,1,1,3,1,0,1,1,1.0,0.925
298,4,18,4,3,2515,1,3,3,1,1,4,4,43,0,1,1,3,1,1,1,1,0.9,0.885
160,4,24,3,1,2872,2,5,3,1,1,4,4,36,0,1,1,3,2,1,1,1,1.0,0.955
268,1,14,4,2,8978,1,5,1,4,1,4,3,45,0,1,1,4,1,1,0,2,0.4,0.225
658,2,30,0,5,4221,1,3,2,2,1,1,2,28,0,1,2,3,1,0,1,1,0.5,0.8225
996,1,30,4,4,3857,1,3,4,4,1,4,3,40,0,1,1,4,1,1,1,1,0.4,0.8125
